time,id,myrank,sentvn,mypparent,pparentrank,nneighbors,children,sentDIS,sentDIO,generatedDAO,forwardedDAO,generatedNPDAO,forwardedNPDAO,ttlsent,receivedDIS,receivedDIO,receivedDAO,ttlrcvd,forwardeddata,attack
1441.491,12,1378 ,103 ,18 ,952 ,0 ,0 ,0 ,3 ,3 ,2 ,0 ,0 ,8 ,0 ,24 ,2 ,26,1425 ,0, 0 
1441.606,9,65535 ,103 ,16 ,65535 ,0 ,0 ,0 ,20 ,10 ,29 ,32 ,7 ,98 ,0 ,40 ,109 ,149,2677 ,0, 1 
1441.612,5,699 ,103 ,9 ,300 ,3 ,0 ,0 ,15 ,12 ,1 ,8 ,2 ,38 ,0 ,43 ,12 ,55,2273 ,0, 0 
1441.627,19,528 ,103 ,1 ,256 ,2 ,0 ,0 ,6 ,0 ,8 ,0 ,0 ,14 ,0 ,18 ,8 ,26,1453 ,0, 0 
1441.706,17,1179 ,103 ,16 ,645 ,0 ,0 ,0 ,10 ,9 ,1 ,4 ,0 ,24 ,0 ,21 ,5 ,26,1362 ,0, 0 
1441.78,13,512 ,103 ,1 ,256 ,1 ,0 ,0 ,4 ,0 ,0 ,0 ,0 ,4 ,0 ,10 ,0 ,10,1256 ,0, 0 
1441.795,3,544 ,103 ,1 ,256 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0,1070 ,0, 0 
1560.969,8,540 ,103 ,1 ,256 ,1 ,0 ,0 ,3 ,0 ,1 ,0 ,0 ,4 ,0 ,1 ,1 ,2,1014 ,0, 0 
1561.087,11,1431 ,103 ,9 ,1101 ,0 ,0 ,0 ,8 ,6 ,0 ,2 ,0 ,16 ,0 ,16 ,0 ,16,2100 ,0, 0 
1561.133,2,512 ,103 ,1 ,256 ,1 ,0 ,0 ,6 ,0 ,39 ,0 ,0 ,45 ,0 ,13 ,41 ,54,1363 ,0, 0 
1561.147,6,1089 ,103 ,2 ,514 ,1 ,0 ,0 ,4 ,5 ,0 ,0 ,0 ,9 ,0 ,17 ,0 ,17,1895 ,0, 0 
1561.223,18,928 ,103 ,19 ,522 ,0 ,0 ,0 ,1 ,1 ,3 ,0 ,0 ,5 ,0 ,7 ,3 ,10,1545 ,0, 0 
1561.244,4,822 ,103 ,8 ,544 ,0 ,0 ,0 ,2 ,1 ,0 ,0 ,0 ,3 ,0 ,4 ,0 ,4,1254 ,0, 0 
1561.298,7,1457 ,103 ,9 ,1101 ,1 ,0 ,0 ,6 ,5 ,0 ,3 ,0 ,14 ,0 ,21 ,0 ,21,2218 ,0, 0 
1561.346,14,584 ,103 ,1 ,256 ,1 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,1 ,0 ,7 ,0 ,7,1055 ,0, 0 
1561.359,15,1433 ,103 ,9 ,1117 ,1 ,0 ,0 ,7 ,6 ,0 ,3 ,0 ,16 ,0 ,17 ,1 ,18,1851 ,0, 0 
1561.369,20,1734 ,103 ,12 ,1361 ,0 ,0 ,0 ,2 ,1 ,0 ,0 ,0 ,3 ,0 ,12 ,0 ,12,1693 ,0, 0 
1561.369,16,888 ,103 ,2 ,514 ,0 ,0 ,0 ,7 ,5 ,4 ,1 ,0 ,17 ,0 ,22 ,8 ,30,2173 ,0, 0 
1561.453,10,1092 ,103 ,14 ,603 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,1 ,0 ,4 ,0 ,4,1073 ,0, 0 
1561.491,12,1324 ,103 ,18 ,945 ,0 ,0 ,0 ,1 ,2 ,1 ,0 ,0 ,4 ,0 ,12 ,1 ,13,1415 ,0, 0 
1561.605,9,1117 ,103 ,5 ,836 ,0 ,0 ,0 ,7 ,4 ,15 ,2 ,0 ,28 ,0 ,19 ,25 ,44,2896 ,0, 0 
1561.611,5,795 ,103 ,2 ,514 ,3 ,0 ,0 ,5 ,7 ,19 ,2 ,1 ,34 ,0 ,21 ,21 ,42,2496 ,0, 0 
1561.615,19,520 ,103 ,1 ,256 ,2 ,0 ,0 ,2 ,0 ,4 ,0 ,0 ,6 ,0 ,15 ,4 ,19,1281 ,0, 0 
1561.705,17,1399 ,103 ,16 ,932 ,0 ,0 ,0 ,7 ,5 ,0 ,1 ,0 ,13 ,0 ,10 ,1 ,11,2034 ,0, 0 
