time,id,myrank,sentvn,mypparent,pparentrank,nneighbors,children,sentDIS,sentDIO,generatedDAO,forwardedDAO,generatedNPDAO,forwardedNPDAO,ttlsent,receivedDIS,receivedDIO,receivedDAO,ttlrcvd,forwardeddata,attack
7921.299,7,812 ,214 ,16 ,556 ,1 ,0 ,0 ,2 ,5 ,182 ,0 ,2 ,191 ,0 ,16 ,188 ,204,7239 ,0, 0 
7921.346,14,512 ,214 ,1 ,256 ,1 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,1 ,0 ,5 ,0 ,5,5457 ,0, 0 
7921.359,15,1271 ,214 ,11 ,771 ,1 ,0 ,0 ,7 ,2 ,1 ,3 ,1 ,14 ,0 ,10 ,3 ,13,6295 ,0, 0 
7921.369,20,1247 ,214 ,5 ,464 ,0 ,0 ,0 ,6 ,2 ,0 ,2 ,0 ,10 ,0 ,11 ,0 ,11,4930 ,0, 0 
7921.37,16,556 ,214 ,9 ,300 ,0 ,0 ,0 ,8 ,5 ,186 ,4 ,3 ,206 ,0 ,10 ,194 ,204,9853 ,0, 0 
7921.452,10,885 ,214 ,14 ,512 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0,6239 ,0, 0 
7921.491,12,1060 ,214 ,5 ,572 ,0 ,0 ,0 ,5 ,4 ,0 ,2 ,0 ,11 ,0 ,12 ,2 ,14,5451 ,0, 0 
7921.606,9,1065 ,214 ,7 ,784 ,0 ,0 ,0 ,10 ,5 ,188 ,7 ,0 ,210 ,0 ,17 ,203 ,220,9186 ,0, 1 
7921.611,5,572 ,214 ,9 ,300 ,3 ,0 ,0 ,8 ,6 ,3 ,5 ,0 ,22 ,0 ,21 ,9 ,30,9189 ,0, 0 
7921.615,19,566 ,214 ,1 ,256 ,2 ,0 ,0 ,5 ,0 ,4 ,0 ,0 ,9 ,0 ,9 ,4 ,13,5955 ,0, 0 
7921.705,17,1048 ,214 ,7 ,741 ,0 ,0 ,0 ,5 ,3 ,0 ,1 ,0 ,9 ,0 ,6 ,0 ,6,6677 ,0, 0 
7921.78,13,512 ,214 ,1 ,256 ,1 ,0 ,0 ,5 ,0 ,1 ,1 ,2 ,9 ,0 ,11 ,5 ,16,5463 ,0, 0 
7921.795,3,521 ,214 ,1 ,256 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,3892 ,0, 0 
8040.969,8,594 ,214 ,1 ,256 ,1 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,2 ,0 ,4 ,0 ,4,4237 ,0, 0 
8041.087,11,1512 ,214 ,9 ,1049 ,0 ,0 ,0 ,3 ,0 ,1 ,0 ,1 ,5 ,0 ,16 ,2 ,18,8054 ,0, 0 
8041.133,2,512 ,214 ,1 ,256 ,1 ,0 ,0 ,2 ,0 ,11 ,0 ,2 ,15 ,0 ,12 ,13 ,25,7225 ,0, 0 
8041.147,6,878 ,214 ,2 ,512 ,1 ,0 ,0 ,1 ,1 ,1 ,0 ,0 ,3 ,0 ,12 ,1 ,13,8800 ,0, 0 
8041.223,18,924 ,214 ,19 ,560 ,0 ,0 ,0 ,2 ,1 ,2 ,0 ,0 ,5 ,0 ,10 ,2 ,12,6848 ,0, 0 
8041.244,4,981 ,214 ,19 ,560 ,0 ,0 ,0 ,2 ,1 ,0 ,0 ,0 ,3 ,0 ,2 ,0 ,2,5510 ,0, 0 
8041.298,7,1163 ,214 ,16 ,804 ,1 ,0 ,0 ,1 ,4 ,14 ,0 ,2 ,21 ,0 ,13 ,18 ,31,7419 ,0, 0 
8041.346,14,512 ,214 ,1 ,256 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4 ,0 ,4,4733 ,0, 0 
8041.359,15,1412 ,214 ,7 ,1069 ,1 ,0 ,0 ,3 ,1 ,0 ,1 ,0 ,5 ,0 ,2 ,0 ,2,6937 ,0, 0 
8041.369,20,1795 ,214 ,5 ,880 ,0 ,0 ,0 ,8 ,3 ,0 ,2 ,0 ,13 ,0 ,10 ,0 ,10,6667 ,0, 0 
8041.375,16,804 ,214 ,2 ,512 ,0 ,0 ,0 ,7 ,2 ,17 ,1 ,2 ,29 ,0 ,8 ,19 ,27,9526 ,0, 0 
8041.452,10,950 ,214 ,14 ,512 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0,5643 ,0, 0 
8041.491,12,1247 ,214 ,18 ,924 ,0 ,0 ,0 ,6 ,3 ,0 ,1 ,0 ,10 ,0 ,10 ,0 ,10,6467 ,0, 0 
8041.605,9,1072 ,214 ,7 ,784 ,0 ,0 ,0 ,2 ,0 ,10 ,1 ,2 ,15 ,0 ,12 ,14 ,26,10154 ,0, 0 
8041.612,5,904 ,214 ,13 ,512 ,3 ,0 ,0 ,6 ,3 ,2 ,3 ,2 ,16 ,0 ,19 ,4 ,23,10693 ,0, 0 
8041.615,19,550 ,214 ,1 ,256 ,2 ,0 ,0 ,2 ,0 ,4 ,0 ,0 ,6 ,0 ,9 ,4 ,13,6002 ,0, 0 
8041.705,17,1281 ,214 ,6 ,832 ,0 ,0 ,0 ,6 ,1 ,0 ,1 ,0 ,8 ,0 ,5 ,0 ,5,7105 ,0, 0 
8041.78,13,512 ,214 ,1 ,256 ,1 ,0 ,0 ,3 ,0 ,4 ,1 ,1 ,9 ,0 ,6 ,8 ,14,5217 ,0, 0 
8041.795,3,520 ,214 ,1 ,256 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,2 ,0 ,1 ,0 ,1,3439 ,0, 0 
8160.969,8,585 ,214 ,1 ,256 ,1 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,2 ,0 ,2 ,0 ,2,4336 ,0, 0 
8161.087,11,1621 ,214 ,12 ,1247 ,0 ,0 ,0 ,6 ,2 ,0 ,2 ,0 ,10 ,0 ,17 ,0 ,17,6671 ,0, 0 
8161.132,2,512 ,214 ,1 ,256 ,1 ,0 ,0 ,1 ,0 ,5 ,2 ,1 ,9 ,0 ,6 ,8 ,14,7541 ,0, 0 
8161.147,6,857 ,214 ,2 ,512 ,1 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,2 ,0 ,2 ,0 ,2,10236 ,0, 0 
8161.222,18,923 ,214 ,19 ,546 ,0 ,0 ,0 ,1 ,1 ,2 ,0 ,0 ,4 ,0 ,5 ,2 ,7,5663 ,0, 0 
8161.244,4,935 ,214 ,19 ,546 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,2 ,0 ,3 ,0 ,3,5204 ,0, 0 
8161.298,7,1168 ,214 ,16 ,808 ,1 ,0 ,0 ,1 ,1 ,1 ,3 ,1 ,7 ,0 ,10 ,2 ,12,7363 ,0, 0 
8161.346,14,512 ,214 ,1 ,256 ,1 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,2 ,0 ,2 ,0 ,2,5531 ,0, 0 
8161.359,15,1395 ,214 ,7 ,1069 ,1 ,0 ,0 ,5 ,0 ,0 ,0 ,0 ,5 ,0 ,8 ,0 ,8,6393 ,0, 0 
8161.368,20,1639 ,214 ,5 ,904 ,0 ,0 ,0 ,4 ,1 ,0 ,0 ,0 ,5 ,0 ,8 ,0 ,8,5028 ,0, 0 
8161.369,16,804 ,214 ,2 ,512 ,0 ,0 ,0 ,3 ,0 ,4 ,2 ,1 ,10 ,0 ,5 ,11 ,16,10018 ,0, 0 
8161.452,10,950 ,214 ,14 ,512 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,1 ,0 ,2 ,0 ,2,6296 ,0, 0 
8161.491,12,1190 ,214 ,18 ,880 ,0 ,0 ,0 ,2 ,1 ,1 ,0 ,0 ,4 ,0 ,10 ,2 ,12,5553 ,0, 0 
8161.605,9,1208 ,214 ,16 ,808 ,0 ,0 ,0 ,6 ,2 ,1 ,3 ,1 ,13 ,0 ,14 ,2 ,16,9352 ,0, 0 
8161.611,5,890 ,214 ,13 ,512 ,3 ,0 ,0 ,3 ,0 ,1 ,0 ,0 ,4 ,0 ,14 ,1 ,15,9289 ,0, 0 
8161.615,19,533 ,214 ,1 ,256 ,2 ,0 ,0 ,2 ,0 ,4 ,0 ,0 ,6 ,0 ,3 ,4 ,7,6054 ,0, 0 
8161.705,17,1281 ,214 ,6 ,832 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,2 ,0 ,2 ,0 ,2,6746 ,0, 0 
8161.78,13,512 ,214 ,1 ,256 ,1 ,0 ,0 ,1 ,0 ,1 ,0 ,0 ,2 ,0 ,5 ,1 ,6,5561 ,0, 0 
8161.795,3,518 ,214 ,1 ,256 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,2 ,0 ,2 ,0 ,2,3961 ,0, 0 
8280.969,8,585 ,214 ,1 ,256 ,1 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,1 ,0 ,3 ,0 ,3,4308 ,0, 0 
8281.087,11,1552 ,214 ,12 ,1190 ,0 ,0 ,0 ,2 ,1 ,0 ,0 ,0 ,3 ,0 ,7 ,0 ,7,8132 ,0, 0 
8281.132,2,512 ,214 ,1 ,256 ,1 ,0 ,0 ,2 ,0 ,3 ,0 ,0 ,5 ,0 ,3 ,3 ,6,7307 ,0, 0 
8281.146,6,848 ,214 ,2 ,512 ,1 ,0 ,0 ,1 ,1 ,1 ,0 ,0 ,3 ,0 ,4 ,1 ,5,8867 ,0, 0 
8281.222,18,855 ,214 ,19 ,521 ,0 ,0 ,0 ,2 ,2 ,2 ,0 ,0 ,6 ,0 ,4 ,2 ,6,6941 ,0, 0 
8281.244,4,901 ,214 ,19 ,526 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,2 ,0 ,3 ,0 ,3,5572 ,0, 0 
8281.298,7,1168 ,214 ,16 ,808 ,1 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,1 ,0 ,4 ,0 ,4,7478 ,0, 0 
8281.346,14,512 ,214 ,1 ,256 ,1 ,0 ,0 ,2 ,0 ,2 ,0 ,0 ,4 ,0 ,4 ,2 ,6,4824 ,0, 0 
8281.359,15,1395 ,214 ,7 ,1069 ,1 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,2 ,0 ,5 ,0 ,5,7002 ,0, 0 
8281.368,20,1591 ,214 ,5 ,904 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,2 ,0 ,2 ,0 ,2,6733 ,0, 0 
8281.369,16,796 ,214 ,2 ,512 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,1 ,0 ,4 ,0 ,4,9609 ,0, 0 
8281.452,10,899 ,214 ,14 ,512 ,0 ,0 ,0 ,2 ,2 ,0 ,0 ,0 ,4 ,0 ,2 ,0 ,2,5713 ,0, 0 
8281.49,12,1169 ,214 ,18 ,879 ,0 ,0 ,0 ,2 ,1 ,1 ,0 ,0 ,4 ,0 ,4 ,1 ,5,6569 ,0, 0 
8281.605,9,1203 ,214 ,16 ,808 ,0 ,0 ,0 ,3 ,0 ,0 ,0 ,0 ,3 ,0 ,2 ,0 ,2,10247 ,0, 0 
8281.611,5,877 ,214 ,13 ,512 ,3 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,2 ,0 ,12 ,0 ,12,10796 ,0, 0 
8281.615,19,521 ,214 ,1 ,256 ,2 ,0 ,0 ,3 ,0 ,5 ,0 ,0 ,8 ,0 ,5 ,5 ,10,6092 ,0, 0 
8281.705,17,1306 ,214 ,6 ,857 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,2 ,0 ,2 ,0 ,2,7165 ,0, 0 
8281.78,13,512 ,214 ,1 ,256 ,1 ,0 ,0 ,3 ,0 ,1 ,0 ,0 ,4 ,0 ,3 ,1 ,4,5300 ,0, 0 
8281.795,3,518 ,214 ,1 ,256 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,1,3504 ,0, 0 
8400.969,8,585 ,214 ,1 ,256 ,1 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,1,4398 ,0, 0 
8401.087,11,1533 ,214 ,12 ,1169 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,2 ,0 ,2 ,0 ,2,6781 ,0, 0 
8401.133,2,512 ,214 ,1 ,256 ,1 ,0 ,0 ,25 ,0 ,66 ,0 ,0 ,91 ,104 ,22 ,66 ,192,7944 ,0, 0 
8401.148,6,842 ,214 ,2 ,512 ,1 ,0 ,120 ,1 ,16 ,0 ,0 ,0 ,137 ,0 ,77 ,0 ,77,11206 ,0, 1 
8401.222,18,840 ,214 ,19 ,521 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,0 ,2 ,0 ,1 ,1 ,2,5785 ,0, 0 
8401.244,4,901 ,214 ,19 ,526 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,1,5276 ,0, 0 
8401.298,7,1193 ,214 ,16 ,785 ,1 ,0 ,0 ,1 ,19 ,1 ,0 ,0 ,21 ,0 ,42 ,1 ,43,7683 ,0, 0 
8401.346,14,512 ,214 ,1 ,256 ,1 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,1 ,0 ,34 ,0 ,34,5633 ,0, 0 
8401.359,15,1500 ,214 ,7 ,1153 ,1 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,2 ,0 ,1 ,0 ,1,6520 ,0, 0 
8401.368,20,1591 ,214 ,5 ,904 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,1,5112 ,0, 0 
8401.37,16,845 ,214 ,2 ,512 ,0 ,0 ,0 ,25 ,15 ,35 ,0 ,0 ,75 ,99 ,33 ,35 ,167,10772 ,0, 0 
8401.453,10,885 ,214 ,14 ,512 ,0 ,0 ,0 ,26 ,0 ,0 ,0 ,0 ,26 ,106 ,0 ,0 ,106,6557 ,0, 0 
8401.49,12,1165 ,214 ,18 ,879 ,0 ,0 ,0 ,2 ,0 ,1 ,0 ,0 ,3 ,0 ,0 ,1 ,1,5663 ,0, 0 
8401.605,9,1285 ,214 ,16 ,785 ,0 ,0 ,0 ,1 ,15 ,0 ,0 ,0 ,16 ,0 ,24 ,0 ,24,9687 ,0, 0 
8401.611,5,856 ,214 ,13 ,512 ,3 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,2 ,0 ,20 ,0 ,20,9498 ,0, 0 
8401.615,19,520 ,214 ,1 ,256 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,20 ,0 ,20,6153 ,0, 0 
8401.706,17,1238 ,214 ,6 ,857 ,0 ,0 ,0 ,25 ,0 ,0 ,0 ,0 ,25 ,103 ,22 ,0 ,125,7049 ,0, 0 
8401.78,13,512 ,214 ,1 ,256 ,1 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,1 ,0 ,22 ,0 ,22,5694 ,0, 0 
8401.795,3,518 ,214 ,1 ,256 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0,4013 ,0, 0 
8520.969,8,564 ,214 ,1 ,256 ,1 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,2 ,0 ,2 ,0 ,2,4391 ,0, 0 
8521.087,11,1522 ,214 ,12 ,1169 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,1 ,0 ,2 ,0 ,2,8206 ,0, 0 
8521.133,2,512 ,214 ,1 ,256 ,1 ,0 ,0 ,25 ,0 ,64 ,0 ,0 ,89 ,100 ,25 ,64 ,189,7666 ,0, 0 
8521.223,18,1064 ,214 ,19 ,521 ,0 ,0 ,0 ,2 ,0 ,1 ,0 ,0 ,3 ,0 ,0 ,1 ,1,7025 ,0, 0 
8521.244,4,878 ,214 ,19 ,526 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,1,5662 ,0, 0 
8521.275,6,796 ,214 ,2 ,512 ,1 ,0 ,120 ,1 ,13 ,0 ,0 ,0 ,134 ,0 ,86 ,0 ,86,9743 ,0, 1 
8521.298,7,1177 ,214 ,16 ,804 ,1 ,0 ,0 ,1 ,18 ,0 ,0 ,0 ,19 ,0 ,44 ,0 ,44,7793 ,0, 0 
8521.346,14,512 ,214 ,1 ,256 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,40 ,0 ,40,4906 ,0, 0 
8521.359,15,1500 ,214 ,7 ,1153 ,1 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,2 ,0 ,1 ,0 ,1,7110 ,0, 0 
8521.368,20,1533 ,214 ,5 ,856 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,2 ,0 ,2 ,0 ,2,6851 ,0, 0 
8521.37,16,800 ,214 ,2 ,512 ,0 ,0 ,0 ,26 ,15 ,36 ,0 ,0 ,77 ,101 ,34 ,36 ,171,10329 ,0, 0 
8521.453,10,885 ,214 ,14 ,512 ,0 ,0 ,0 ,25 ,0 ,0 ,0 ,0 ,25 ,106 ,1 ,0 ,107,5997 ,0, 0 
8521.49,12,1350 ,214 ,18 ,1064 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,2 ,0 ,2 ,0 ,2,6638 ,0, 0 
8521.605,9,1194 ,214 ,16 ,804 ,0 ,0 ,0 ,0 ,18 ,0 ,0 ,0 ,18 ,0 ,27 ,0 ,27,10500 ,0, 0 
8521.611,5,847 ,214 ,13 ,512 ,3 ,0 ,0 ,1 ,0 ,1 ,0 ,0 ,2 ,0 ,25 ,1 ,26,10940 ,0, 0 
8521.615,19,517 ,214 ,1 ,256 ,2 ,0 ,0 ,1 ,0 ,1 ,0 ,0 ,2 ,0 ,20 ,1 ,21,6210 ,0, 0 
8521.706,17,1238 ,214 ,6 ,857 ,0 ,0 ,0 ,25 ,0 ,0 ,0 ,0 ,25 ,106 ,27 ,0 ,133,7468 ,0, 0 
8521.78,13,512 ,214 ,1 ,256 ,1 ,0 ,0 ,1 ,0 ,1 ,0 ,0 ,2 ,0 ,18 ,1 ,19,5406 ,0, 0 
8521.795,3,515 ,214 ,1 ,256 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,1,3578 ,0, 0 
8640.969,8,564 ,214 ,1 ,256 ,1 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0,4506 ,0, 0 
8641.087,11,1480 ,214 ,9 ,1118 ,0 ,0 ,0 ,4 ,2 ,0 ,1 ,0 ,7 ,0 ,7 ,0 ,7,6932 ,0, 0 
8641.133,2,512 ,214 ,1 ,256 ,1 ,0 ,0 ,26 ,0 ,64 ,0 ,0 ,90 ,101 ,25 ,64 ,190,8313 ,0, 0 
8641.223,18,1008 ,214 ,19 ,521 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,1 ,2 ,0 ,3 ,1 ,4,5895 ,0, 0 
8641.244,4,868 ,214 ,19 ,526 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,1,5336 ,0, 0 
8641.276,6,819 ,214 ,2 ,512 ,1 ,0 ,120 ,1 ,15 ,0 ,0 ,0 ,136 ,0 ,84 ,0 ,84,12108 ,0, 1 
8641.298,7,1228 ,214 ,16 ,802 ,1 ,0 ,0 ,1 ,16 ,0 ,0 ,0 ,17 ,0 ,39 ,0 ,39,7959 ,0, 0 
8641.346,14,512 ,214 ,1 ,256 ,1 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,2 ,0 ,37 ,0 ,37,5756 ,0, 0 
8641.359,15,1628 ,214 ,7 ,1291 ,1 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,1 ,0 ,5 ,0 ,5,6593 ,0, 0 
8641.368,20,1490 ,214 ,5 ,856 ,0 ,0 ,0 ,3 ,0 ,0 ,0 ,0 ,3 ,0 ,7 ,0 ,7,5218 ,0, 0 
8641.37,16,802 ,214 ,2 ,512 ,0 ,0 ,0 ,26 ,15 ,34 ,0 ,0 ,75 ,97 ,39 ,34 ,170,11540 ,0, 0 
8641.453,10,931 ,214 ,14 ,512 ,0 ,0 ,0 ,23 ,0 ,0 ,0 ,0 ,23 ,103 ,0 ,0 ,103,6803 ,0, 0 
8641.49,12,1233 ,214 ,5 ,847 ,0 ,0 ,0 ,4 ,1 ,1 ,1 ,1 ,8 ,0 ,6 ,2 ,8,5843 ,0, 0 
8641.605,9,1190 ,214 ,16 ,802 ,0 ,0 ,0 ,2 ,17 ,1 ,0 ,0 ,20 ,0 ,25 ,1 ,26,9982 ,0, 0 
8641.611,5,813 ,214 ,13 ,512 ,3 ,0 ,0 ,2 ,1 ,2 ,0 ,1 ,6 ,0 ,32 ,3 ,35,9626 ,0, 0 
8641.615,19,516 ,214 ,1 ,256 ,2 ,0 ,0 ,1 ,0 ,0 ,0 ,1 ,2 ,0 ,24 ,1 ,25,6353 ,0, 0 
8641.706,17,1155 ,214 ,6 ,787 ,0 ,0 ,0 ,27 ,0 ,0 ,0 ,0 ,27 ,111 ,24 ,0 ,135,7347 ,0, 0 
8641.78,13,512 ,214 ,1 ,256 ,1 ,0 ,0 ,1 ,0 ,3 ,0 ,1 ,5 ,0 ,22 ,4 ,26,5838 ,0, 0 
8641.795,3,515 ,214 ,1 ,256 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,1,4136 ,0, 0 
8760.969,8,564 ,214 ,1 ,256 ,1 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0,4446 ,0, 0 
8761.086,11,1480 ,214 ,9 ,1118 ,0 ,0 ,0 ,3 ,0 ,0 ,0 ,0 ,3 ,0 ,1 ,0 ,1,8290 ,0, 0 
8761.132,2,512 ,214 ,1 ,256 ,1 ,0 ,0 ,5 ,0 ,19 ,0 ,0 ,24 ,1 ,4 ,19 ,24,7777 ,0, 0 
8761.147,6,840 ,214 ,2 ,512 ,1 ,0 ,0 ,1 ,5 ,0 ,0 ,0 ,6 ,0 ,16 ,0 ,16,9886 ,0, 0 
8761.222,18,963 ,214 ,19 ,521 ,0 ,0 ,0 ,1 ,0 ,0 ,1 ,0 ,2 ,0 ,2 ,0 ,2,7087 ,0, 0 
8761.244,4,887 ,214 ,19 ,516 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,1 ,0 ,2 ,0 ,2,5743 ,0, 0 
8761.298,7,1157 ,214 ,16 ,775 ,1 ,0 ,0 ,1 ,5 ,0 ,0 ,0 ,6 ,0 ,9 ,0 ,9,7921 ,0, 0 
8761.346,14,512 ,214 ,1 ,256 ,1 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,1 ,0 ,8 ,0 ,8,4974 ,0, 0 
8761.359,15,1611 ,214 ,7 ,1291 ,1 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,1 ,0 ,3 ,0 ,3,7200 ,0, 0 
8761.368,20,1477 ,214 ,5 ,856 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4 ,0 ,4,6905 ,0, 0 
8761.369,16,774 ,214 ,2 ,512 ,0 ,0 ,0 ,5 ,4 ,10 ,0 ,0 ,19 ,0 ,9 ,10 ,19,10535 ,0, 0 
8761.452,10,914 ,214 ,14 ,512 ,0 ,0 ,0 ,5 ,0 ,0 ,0 ,0 ,5 ,0 ,0 ,0 ,0,6088 ,0, 0 
8761.49,12,1220 ,214 ,5 ,847 ,0 ,0 ,0 ,2 ,0 ,0 ,1 ,0 ,3 ,0 ,2 ,0 ,2,6712 ,0, 0 
8761.605,9,1139 ,214 ,16 ,775 ,0 ,0 ,0 ,1 ,5 ,0 ,0 ,0 ,6 ,0 ,9 ,0 ,9,10638 ,0, 0 
8761.611,5,834 ,214 ,13 ,512 ,3 ,0 ,0 ,1 ,0 ,0 ,1 ,0 ,2 ,0 ,10 ,1 ,11,11072 ,0, 0 
8761.615,19,514 ,214 ,1 ,256 ,2 ,0 ,0 ,2 ,0 ,1 ,1 ,0 ,4 ,0 ,5 ,2 ,7,6308 ,0, 0 
8761.705,17,1158 ,214 ,6 ,787 ,0 ,0 ,0 ,5 ,0 ,0 ,0 ,0 ,5 ,0 ,4 ,0 ,4,7585 ,0, 0 
8761.78,13,512 ,214 ,1 ,256 ,1 ,0 ,0 ,2 ,0 ,0 ,1 ,0 ,3 ,0 ,5 ,1 ,6,5497 ,0, 0 
8761.795,3,515 ,214 ,1 ,256 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0,3628 ,0, 0 
8880.969,8,548 ,214 ,1 ,256 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,2,4568 ,0, 0 
8881.087,11,1490 ,214 ,9 ,1128 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,2 ,0 ,4 ,0 ,4,7011 ,0, 0 
8881.132,2,512 ,214 ,1 ,256 ,1 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,1,8388 ,0, 0 
8881.147,6,840 ,214 ,2 ,512 ,1 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,1 ,0 ,2 ,0 ,2,12163 ,0, 0 
8881.222,18,963 ,214 ,19 ,521 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,2 ,0 ,3 ,0 ,3,5967 ,0, 0 
8881.244,4,875 ,214 ,19 ,516 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0,5406 ,0, 0 
8881.298,7,1157 ,214 ,16 ,775 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,3,8019 ,0, 0 
8881.346,14,512 ,214 ,1 ,256 ,1 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,1 ,0 ,3 ,0 ,3,5820 ,0, 0 
8881.359,15,1611 ,214 ,7 ,1291 ,1 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,2 ,0 ,2 ,0 ,2,6658 ,0, 0 
8881.368,20,1440 ,214 ,5 ,856 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,1 ,0 ,2 ,0 ,2,5301 ,0, 0 
8881.441,16,773 ,214 ,2 ,512 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,1,11599 ,0, 0 
8881.452,10,899 ,214 ,14 ,512 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0,6862 ,0, 0 
8881.49,12,1220 ,214 ,5 ,847 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,2 ,0 ,4 ,0 ,4,5941 ,0, 0 
8881.605,9,1126 ,214 ,16 ,773 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,1 ,0 ,3 ,0 ,3,10048 ,0, 0 
8881.611,5,834 ,214 ,13 ,512 ,3 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,1 ,0 ,4 ,0 ,4,9729 ,0, 0 
8881.615,19,512 ,214 ,1 ,256 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1,6420 ,0, 0 
8881.705,17,1211 ,214 ,6 ,840 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,2 ,0 ,2 ,0 ,2,7416 ,0, 0 
8881.78,13,512 ,214 ,1 ,256 ,1 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0,5900 ,0, 0 
